SPLEase,alertvolume,app,category,dashboard,datasource,description,displayapp,domain,examples{}.label,examples{}.name,gdpr,gdprtext,hasSearch,help,highlight,host,howToImplement,ids_type,images{}.label,images{}.name,images{}.path,journey,killchain,knownFP,mitre,name,name_label,operationalize,released,relevance,similarUseCases{},story,usecase
Medium,Low,Splunk_Security_Essentials,GDPR,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/showcase_simple_search?ml_toolkit.dataset=Brute%20Force%20GDPR%20-%20Demo,Authentication|Windows Security,Monitor your security controls and prove your GDPR compliance by detecting brute force (or password guessing) attacks on GDPR-tagged systems.,Splunk Security Essentials,Access,"Demo Data
Live Data","Brute Force GDPR - Demo
Brute Force GDPR - Live",,"<h4>Problem:</h4><p>Attackers leverage brute-force authentication attempts to bypass weak cryptographic standards, or to exploit infrastructure or applications where password best practices are not consistently applied. </p><h4>Impact:</h4><p>Brute force access is a common attack vector. Under the GDPR, monitoring and demonstrating that security controls are effective is required by Article 32, therefore immediate awareness of any brute force attempts is critical to maintaining compliance posture. Demonstrating that any such attempts have not been successful will help to prove compliance for data privacy audits initiated by data privacy authorities (Article 58) and also help counteract compensation claims (Article 82).</p><h4>Resolution Path:</h4><p>Identify GDPR-relevant resources and systems and monitor for a large number of authentication failures within a short time period, on any of those resources or systems. It is important to adjust for the scenario where a single source (such as a web app) might centralize the authentication for a large number of users, to reduce false positives.</p>",Yes,"This example leverages the Simple Search assistant. Our example dataset is a collection of anonymized Windows Authentication logs, during which someone attempts a brute force against a series of usernames. Our live search looks for Windows Authentication activity across any index in the standard sourcetype.",Yes,ubuntu8971,"If you have followed the data onboarding guides in this app, this search will work immediately for you. You should generally specify the index where you are storing Windows Security logs (e.g., index=oswinsec), and if you use a mechanism other than the Splunk Universal Forwarder to onboard that data, you should verify the sourcetype and fields that are used. The rest is simple!",,,,,Stage_4,,"The only known scenario where this search could generate false positives is if you have a single source (for example, a web app) that centralizes the authentication for many people. In that scenario, you might need to adjust thresholds for that source, or exclude it and build a separate similar search just using the logs from that host.",,Brute Force Access Behavior Detected - Against Category,UC0108,"When this search fires, the immediate concern is that the brute force search was successful. See if it is coming from a host that typically logs in with that account to make sure it is not just coincidental, and then reset the password for any compromised accounts and look for any other places where that username was used.",2.0.0,Monitoring that your security controls are effective is required by Article 32 and will help you to prove compliance for data privacy audits from authorities (Article 58) or counteract any compensation claims (Article 82). ,,,Compliance
Medium,Low,Splunk_Security_Essentials,GDPR,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/showcase_simple_search?ml_toolkit.dataset=Brute%20Force%20Slow%20and%20Low%20GDPR%20-%20Demo,Authentication|Windows Security,Monitor your security controls and prove your GDPR compliance by detecting slow and low brute force (or password guessing) attacks on GDPR-tagged systems that occur gradually over the day.,Splunk Security Essentials,Access,"Demo Data
Live Data","Brute Force Slow and Low GDPR - Demo
Brute Force Slow and Low GDPR - Live",,"<h4>Problem:</h4><p>Attackers leverage brute-force authentication attempts to bypass weak cryptographic standards, or to exploit infrastructure or applications where password best practices are not consistently applied. </p><h4>Impact:</h4><p>Brute force access is a common attack vector. Under the GDPR, monitoring and demonstrating that security controls are effective is required by Article 32, therefore immediate awareness of any brute force attempts is critical to maintaining compliance posture. Demonstrating that any such attempts have not been successful will help to prove compliance for data privacy audits initiated by data privacy authorities (Article 58) and also help counteract compensation claims (Article 82).</p><h4>Resolution Path:</h4><p>Identify GDPR-relevant resources and systems and monitor for a large number of authentication failures within a short time period, on any of those resources or systems. It is important to adjust for the scenario where a single source (such as a web app) might centralize the authentication for a large number of users, to reduce false positives.</p>",Yes,"This example leverages the Simple Search assistant. Our example dataset is a collection of anonymized Windows Authentication logs, during which someone attempts a brute force against a series of usernames. Our live search looks for Windows Authentication activity across any index in the standard sourcetype.",No,ubuntu8971,"If you have followed the data onboarding guides in this app, this search will work immediately for you. You should generally specify the index where you are storing Windows Security logs (e.g., index=oswinsec), and if you use a mechanism other than the Splunk Universal Forwarder to onboard that data, you should verify the sourcetype and fields that are used. The rest is simple!",,,,,Stage_4,,"The only known scenario where this search could generate false positives is if you have a single source (for example, a web app) that centralizes the authentication for many people. In that scenario, you might need to adjust thresholds for that source, or exclude it and build a separate similar search just using the logs from that host.",,Brute Force Access Behavior Detected Over One Day - Against Category,UC0109,"When this search fires, the immediate concern is that the brute force search was successful. See if it is coming from a host that typically logs in with that account to make sure it is not just coincidental, and then reset the password for any compromised accounts and look for any other places where that username was used.",2.0.0,,,,Compliance
Medium,Medium,Splunk_Security_Essentials,Account Compromise|IAM Analytics|SaaS,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/showcase_first_seen_demo?ml_toolkit.dataset=AWS%20Instance%20Modified%20by%20Unusual%20User%20-%20Demo,Audit Trail,Detects the first time a user modifies an existing instance.,Splunk Security Essentials,Access,"Demo Data
Live Data","AWS Instance Modified by Unusual User - Demo
AWS Instance Modified by Unusual User - Live",,,Yes,"This example leverages the Detect New Values search assistant. Our example dataset is a collection of anonymized AWS CloudTrail logs, during which someone does something bad. Our live search looks for the same behavior using the very standardized index and sourcetype for AWS CloudTrail, as detailed in How to Implement.",No,ubuntu8971,"Assuming you use the ubiqutious AWS Add-on for Splunk to pull these logs in, this search should work automatically for you without issue. While implementing, make sure you follow the best pratice of specifying the index for your data.",,,,,Stage_3,,"<p class=""disclaimer"">This is a strictly behavioral search, so we define ""false positive"" slightly differently. Every time this fires, it will accurately reflect the first occurrence in the time period you're searching over (or for the lookup cache feature, the first occurrence over whatever time period you built the lookup). But while there are really no ""false positives"" in a traditional sense, there is definitely lots of noise.</p><p>For this use case, you probably don't care every time a new user starts modifying instances in a large environment, but you may care when they change resources in sensitive VPCs. Smaller organizations with a limited number of admins would likely care the minute that a new account is created. For all organizations, having this data around for context or to aggregate risk is extremely useful!</p>",,AWS Instance Modified by Unusual User,AWS_Instance_Modified_by_Unusual_User,"When this alert fires, call the user and see if they expected this behavior. If the user cannot attribute this activity, it is best to reset the keys and continue your investigation to see what occurred.",2.0.0,"The risk that this detection intends to reduce is the compromise of an AWS environment, where all of a sudden instance modification occurs by a user that isn't known to modify instances. Assuming that the user has not changed roles, and that new orchestration tools are not being used, this would suggest that credentials have been created or compromised, and are in control of an adversary. This could result in potential data leakage, data deletion, or cost run-up.",,,Advanced Threat Detection
None,Other,Splunk_Professional_Services,Endpoint Compromise,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/PS_Use_Case,IDS or IPS|Host-based IDS,"Host and Network IDS event categories, detect events with a category of 'backdoor' or 'trojan' followed by a signature categorized as 'post exploit' on a given host or network with a given time period.",Splunk Professional Services,Endpoint,,,,,No,Help not needed -- PS Use Case,No,ubuntu8971,,,,,,Stage_3,None,,None,Chained Exploit Followed by Suspicious Events Detected,UC0104,,,,,,Advanced Threat Detection
None,Other,Splunk_Professional_Services,Endpoint Compromise,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/PS_Use_Case,Web Server|Web Application Firewall,"Internal web applications often contain sensitive information and should be controlled. Multiple technologies can be used to detect rogue web applications, including Imperva WAF and/or Splunk App for Stream. Use one of these technologies to detect web applications in the environment that have not been seen internally before.",Splunk Professional Services,Endpoint,,,,,No,Help not needed -- PS Use Case,No,ubuntu8971,,,,,,Stage_4,None,,None,Detect Newly Seen Public Web Application (Internal),UC0105,,,,,,Advanced Threat Detection
None,Medium,Enterprise_Security_Content_Update,Endpoint Compromise,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/ESCU_Use_Case,Endpoint Detection and Response,Command lines that are extremely long can be indicative of malicious activity on your hosts.,Enterprise Security Content Update,Endpoint,,,,,No,This search calculates the average and standard deviation for the length of the command lines on each of your endpoints and alerts when a command line is found with a length over 10 times the standard deviation larger than the average command line.,No,ubuntu8971,,,,,,Stage_3,Actions on Objective,,Execution,Unusually Long Command Line,detection_unusually_long_commandlines,,,,,Unusual Processes,Advanced Threat Detection
Medium,Low,Splunk_Security_Essentials,GDPR,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/showcase_simple_search?ml_toolkit.dataset=Activity%20Expired%20Identity%20GDPR%20-%20Demo,Authentication|Windows Security,The GDPR requires that only authorized individuals access personal data. Alert when the account of a past employee is used to log into GDPR-tagged systems,Splunk Security Essentials,Access,"Demo Data
Live Data","Activity Expired Identity GDPR - Demo
Activity Expired Identity GDPR - Live",,"<h4>Impact:</h4><p>Detecting and proving that only individuals who are authorized to access, handle, and process personal data is an industry best practice and can be considered an effective security control, as required by Article 32. Demonstrating that any unauthorized attempts -- both failed and successful -- from past employees or employees whose authorization has expired -- as well as demonstration that any non-compliant conditions resulting in unauthorized use are properly scoped, investigated, and remediated properly, is required to prove compliance for data privacy audits from authorities (Article 58) or to counteract any compensation claims (Article 82). Additionally, data processors working on behalf of a controller within the organization need to ensure, per Article 28, that only authorized individuals have access to personal data.</p>",Yes,"This example leverages the Simple Search assistant. Our example dataset is a collection of anonymized Windows Authentication logs, during which someone attempts a brute force against a series of usernames. Our live search looks for Windows Authentication activity across any index in the standard sourcetype.",No,ubuntu8971,"If you have followed the data onboarding guides in this app, this search will work immediately for you. You should generally specify the index where you are storing Windows Security logs (e.g., index=oswinsec), and if you use a mechanism other than the Splunk Universal Forwarder to onboard that data, you should verify the sourcetype and fields that are used. The rest is simple!",,,,,Stage_4,,"If you are still using an account after the user is disabled, you will see alerts (e.g., if you provide the manager with access to log in as the user).",,Activity from Expired User Identity - on Category,UC0107,"The first thing to understand after this alert fires is whether this was some continuation of normal system operations (e.g., the desktop under their desk was still logged in, or iPhone account still active) versus a deliberate action. Obviously success or failure also carries weight. Finally, particularly for sysadmin type employees in less structured organizations, it's important to make sure that there are no services or scheduled jobs running under that account where disabling the account outright might impact operations.",2.0.0,,,,Compliance
None,Other,Splunk_Professional_Services,Web Attack,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/PS_Use_Case,Web Server,"Host and Network IDS event categories, detect events with a category of 'backdoor' or 'trojan' followed by a signature categorized as 'post exploit' on a given host or network within a given time period.",Splunk Professional Services,Network,,,,,No,Help not needed -- PS Use Case,No,ubuntu8971,,,,,,Stage_2,None,,None,Newly Seen File Successfully Executed by Web Application,UC0100,,,,,,Application Security
None,Other,Splunk_Professional_Services,Privilege Escalation|Endpoint Compromise,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/PS_Use_Case,Windows Security,Detect attempts to gain persistence through newly seen/unauthorized scheduled tasks per host.,Splunk Professional Services,Endpoint,,,,,No,Help not needed -- PS Use Case,No,ubuntu8971,,,,,,Stage_3,None,,None,Newly Seen Scheduled Task Detected by Host,UC0101,,,,,,Advanced Threat Detection
None,Other,Splunk_Professional_Services,Scanning|Account Compromise,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/PS_Use_Case,Authentication,"Traditional brute force attacks generate hundreds or thousands of failed access attempts against a single host. This is a variation of brute force, where the objective is to detect password guessing attempts that do not cause account lockouts or will not trigger other &quot;failed access&quot; notable events. ",Splunk Professional Services,Access,,,,,No,Help not needed -- PS Use Case,No,ubuntu8971,,,,,,Stage_2,None,,None,Slow/Controlled Password Guessing Detected,UC0102,,,,,,Security Monitoring
None,Other,Splunk_Professional_Services,Scanning|Endpoint Compromise,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/PS_Use_Case,Network Communication,"Detect lateral movement by searching for hosts with an unusually high number of connections to hosts it has never connected to before, within a given time period.",Splunk Professional Services,Network,,,,,No,Help not needed -- PS Use Case,No,ubuntu8971,,,,,,Stage_3,None,,None,High Number of Newly Seen Connections to Internal Hosts,UC0103,,,,,,Advanced Threat Detection|Security Monitoring
Advanced,Medium,Splunk_Security_Essentials,Data Exfiltration,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/showcase_first_seen_demo?ml_toolkit.dataset=Accessing%20New%20Git%20Repositories%20With%20Peer%20-%20Demo,Source Code Respository,"<p>Find users who accessed a git repository for the first time, where their peer group also hasn't accessed it before.</p><p><b>Alert Volume:</b> Medium</p>",Splunk Security Essentials,Data,Demo Data,Accessing New Git Repositories With Peer - Demo,,,Yes,"<p>This example leverages the Detect New Values search assistant. Our dataset is the Splunk-internal git source source checkout history for a couple of our Splunk UBA software developers, anonymized to Alice and Chuck. On the last day, I added in a few more developers who visit other repositories, but set their usernames to Chuck so that it looks like he started downloading from a bunch of repositories that he's never touched before. We also have a user Bob, who has checked out from a few other repositories in the past, and is on Chuck's team. Under the peer group, git_peer_group is selected, which includes that chuck and bob are on the same team. For this analysis, we are looking at the first time a username, or anyone in that username's peer group, has checked out from a repository names, and alerting if that was in the last day. </p>",Yes,ubuntu8971,"<p>Implementation of this example (or any of the First Time Seen examples) is generally very simple, though the peer group makes things slightly more complicated.<ul><li>Validate that you have the right data onboarded, and that the fields you want to monitor are properly extracted.</li><li>Save the search.</li></ul></p><p>To configure the Peer Group:<ol><li>Start with a data source that gives you visibility into the peer group -- easiest is usually querying Active Directory via the <a href=""https://splunkbase.splunk.com/app/1151/"">SA-ldapsearch add-on</a>, but you could get lists of users and their teams / departments / etc from any source you have.</li><li>Next you will need to convert that log source into a format that this lookup is expecting, which is as follows:<table class=""table"" style=""width: 300px""><tr><td>user</td><td>peergroup (order not important)</td></tr><tr><td>john</td><td>john|sarah</td></tr><tr><td>sarah</td><td>john|sarah</td></tr><tr><td>mark</td><td>mark</td></tr></table>The easiest way to do this is with a search like <span class=""spl"">| inputlookup LDAPSearch.csv | stats values(user) as user by department | eval peergroup=mvjoin(user, ""|"") | mvexpand user</span></li></ol></p><p>For most environments, these searches can be run once a day, often overnight, without worrying too much about a slow search. If you wish to run this search more frequently, or if this search is too slow for your envionment, we recommend leveraging a lookup cache. For more on this, see the lookup cache dropdown below and select the sample item. A window will pop up telling you more about this feature.</p>",,,,,Stage_4,Actions on Objective,"<p class=""disclaimer"">This is a strictly behavioral search, so we define ""false positive"" slightly differently. Every time this fires, it will accurately reflect the first occurrence in the time period you're searching over (or for the lookup cache feature, the first occurrence over whatever time period you built the lookup). But while there are really no ""false positives"" in a traditional sense, there is definitely lots of noise (even though the peer groups help manage noise).</p><p> You should not review these alerts directly except for access to extremely sensitive repositories, but instead use them for context, or to aggregate risk (as mentioned under How To Respond).</p> ",Collection,First Time Accessing an Internal Git Repository Not Viewed by Peers,showcase_first_git_peer,"<p>When this search returns values, initiate your incident response process and identify the user account accessing the specific repo. Contact the user and manager to determine if they are accessing the repo with authorization. If they did not access this repo, attempt to determine if the user credentials have been used by another party by stealing a user's credentials.</p>",1.0.0,"This is an insider threat use case that builds off of the ""Accessing New Git Repositories"" example. Your developers are often granted access to the Git (or other software life cycle repository) that they require, but why would they be gaining access to other repos that other members of their team (e.g. peer group) never access? This could be an alertable condition. In order to perform searches like this you must map your users into peer groups - we have done this via a simple Splunk lookup in the example, but this could be done via more automated fashion, and Splunk UBA contains its own methods of discovering peer groups for individual users.",,,Insider Threat
Advanced,Low,Splunk_Security_Essentials,Endpoint Compromise,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/showcase_simple_search?ml_toolkit.dataset=Systems%20with%20Timestamps%20Far%20Into%20the%20Future%20-%20Live,Any Host Logs,<p>One technique for foiling correlation searches is to alter the system time. This search will detect this scenario.</p><p><b>Alert Volume:</b> Low (and should be fixed)</p>,Splunk Security Essentials,Endpoint,Live Data (Auto Accelerated),Systems with Timestamps Far Into the Future - Live,,,Yes,"<p>This example leverages the Simple Search assistant. Here we are looking through all Splunk logs for hosts that begin sending logs at very different timestamps. The goal is to detect an attacker who suddenly sets the year to 2020 or somepoint in the future to evade detection. We use the tstats command here, because we are only looking at indexed field, and it is super fast for those use cases. If we find a broad range of time for any host, the search surfaces it. We use 21 years into the future for the time range, because that is the maximum time range you can put into a Splunk search. We're looking for a range of more than one hour, just to make sure we're above chance.</p>",No,ubuntu8971,"This search should work universally on all Splunk environments, since it uses Splunk internal fields.",,,,,Stage_1,Actions on Objective,"This should not fire often -- the idea is it should only fire when the system time changes, which should not happen often. The only known false positives are hosts that are sending data with multiple timestamps simultaneously, which is usually an instance of an incorrect _time extraction (which should be fixed) or a data source with known lag (which should be filtered out).",Defense Evasion,Hosts with Varied and Future Timestamps,showcase_hosts_with_many_timestamps,"<p>When timestamps are detected as being incorrect, it should be noted which system's timestamps are off and when it started. Notification of the system owner needs to be made to correct this condition, but additional investigation may be required to determine if this was an accidental or malicious configuration change and by whom.</p>",1.0.0,"Splunk uses the timestamps in the logs generated on an endpoint in order to log an accurate time when an event actually happened. This is why having all of the systems reporting into Splunk leverage an authoritative time source, like NTP, is so important. Attackers may realize that your correlation rules are based on time boundaries, e.g. 'search the last five minutes of data' but if a system is logging time 'in the future?€? then your correlation rules may not trip when suspicious behavior is logged. It is important to find the systems with inaccurate system times and fix them.",,,Advanced Threat Detection
,Other,Splunk_User_Behavior_Analytics,Command and Control|Endpoint Compromise,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/UBA_Use_Case,Network Communication,Machine Generated Beacon,Splunk User Behavior Analytics,Other,,,,,No,Help not needed -- UBA Use Case,No,ubuntu8971,,,,,,Stage_6,None,,None,Machine Generated Beacon,machine_generated_beacon,,,,,,Advanced Threat Detection|Advanced Threat Detection
Basic,Low,Splunk_Security_Essentials,Endpoint Compromise,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/showcase_simple_search?ml_toolkit.dataset=Recurring%20Infection%20on%20Host%20-%20Demo,Anti-Virus,Looks for the same malware occurring multiple times on the same host.,Splunk Security Essentials,Endpoint,"Demo Data
Live Data","Recurring Infection on Host - Demo
Recurring Infection on Host - Live",,,Yes,"This example leverages the Simple Search search assistant. Our example dataset is a collection of anonymized Symantec Endpoint Protection logs (onboarded in accordance with our Data Onboarding Guides), during which someone does something bad. Our live search looks for the same behavior using the standardized sourcetypes for Symantec Endpoint Protection or the Common Information Model.",Yes,ubuntu8971,"With Symantec Endpoint Protection logs onboard, these searches should work easily. If you have a different Anti-Virus product, they should be very easy to adapt to the field names and sourcetypes for that product -- particularly if you use a Splunk Add-on that maps them to the Common Information Model (search on Splunkbase!).",,,,,Stage_1,,No known false positives at this time.,,Recurring Infection on Host,Recurring_Infection_on_Host,"When repeated infections on the same host, you should strive to understand how the system is being reinfected. If you can see behavior such as proxy logs indicating suspicious activies, or suspicious emails going through the spam filter, that might be an indication that the user needs some education or that your malware solution needs to be strengthened. If you can't determine the reason for the reinfection, consider the possibility that the host still had an infection from the first occurrence and it just reactivated other functionality that AV caught, particularly if you didn't wipe the host the first time around. If you didn't, the time is now.",2.0.0,"If the same malware is detected repeatedly on a host, it could mean repeated attacks or an incomplete clean. Regardless, it is something that we should detect and remediate.",,,Security Monitoring
None,Low,Enterprise_Security_Content_Update,Denial of Service,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/ESCU_Use_Case,DNS,The search is used to identify attempts to use your DNS Infrastructure for DDoS purposes via a DNS amplification attack leveraging ANY queries.,Enterprise Security Content Update,Network,,,,,No,"This search counts the number of DNS ANY queries received in 5 minutes, and generates a Notable Event if the count exceeds a predefined threshold. The search returns the count, the first time, and the last time a DNS packet was observed with the ANY flag set.",No,ubuntu8971,,,,,,Stage_3,Actions on Objective,,,Large Volume of DNS ANY Queries,detection_dns_amplification_any_query,,,,,DNS Amplification Attacks,Application Security
None,Other,Splunk_Professional_Services,Insider Threat,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/PS_Use_Case,Physical Security,"A user with continuous physical access failures could be someone searching for a physical vulnerability within the organization.  When this occurs in an area that is protecting CIP assets, it is something that should be followed up on immediately. ",Splunk Professional Services,Access,,,,,No,Help not needed -- PS Use Case,No,ubuntu8971,,,,,,Stage_4,None,,None,Excessive physical access failures to CIP assets,UC0051,,,,,,Insider Threat
None,Medium,Enterprise_Security_Content_Update,Command and Control,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/ESCU_Use_Case,DNS,"This search allows you to identify DNS requests and compute the standard deviation on the length of the names being resolved, then filter on two times the standard deviation to show you those queries that are unusually large for your environment.",Enterprise Security Content Update,Network,,,,,No,"Attackers often use random, long domain names for their attack infrastructure. This search looks at all of the queries observed over the search timeframe, and identifies any domains being resolved with names that are greater that 2 times the standard deviation.",No,ubuntu8971,,,,,,Stage_3,Command and Control,,Command and Control|Exfiltration,DNS Query Length With High Standard Deviation,detection_dns_query_length_with_high_standard_deviation,,,,,Suspicious DNS Traffic,Advanced Threat Detection
Advanced,Other,Splunk_App_for_Enterprise_Security,Insider Threat,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/ES_Use_Case,Authentication,Discovers previously inactive accounts that are now being used. This may be due to an attacker that successfully gained access to an account that was no longer being used.,Splunk App for Enterprise Security,Access,,,,,No,Help not needed -- ES Use Case,No,ubuntu8971,,,,,,Stage_4,,,,Inactive Account Activity Detected,inactive_account_activity_detected,,,,,,Insider Threat|Security Monitoring
Medium,Medium,Splunk_Security_Essentials,Account Compromise|IAM Analytics|SaaS,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/showcase_first_seen_demo?ml_toolkit.dataset=AWS%20Instance%20Created%20by%20Unusual%20User%20-%20Demo,Audit Trail,Detects the first time a user creates a new instance.,Splunk Security Essentials,Access,"Demo Data
Live Data","AWS Instance Created by Unusual User - Demo
AWS Instance Created by Unusual User - Live",,,Yes,"This example leverages the Detect New Values search assistant. Our example dataset is a collection of anonymized AWS CloudTrail logs, during which someone does something bad. Our live search looks for the same behavior using the very standardized index and sourcetype for AWS CloudTrail, as detailed in How to Implement.",Yes,ubuntu8971,"Assuming you use the ubiqutious AWS Add-on for Splunk to pull these logs in, this search should work automatically for you without issue. While implementing, make sure you follow the best pratice of specifying the index for your data.",,,,,Stage_3,,"<p class=""disclaimer"">This is a strictly behavioral search, so we define ""false positive"" slightly differently. Every time this fires, it will accurately reflect the first occurrence in the time period you're searching over (or for the lookup cache feature, the first occurrence over whatever time period you built the lookup). But while there are really no ""false positives"" in a traditional sense, there is definitely lots of noise.</p><p>For this use case, you probably don't care every time a new user starts creating instances in a large environment, but you may care when they change resources in sensitive VPCs. Smaller organizations with a limited number of admins would likely care the minute that a new account is created. For all organizations, having this data around for context or to aggregate risk is extremely useful!",,AWS Instance Created by Unusual User,AWS_Instance_Created_by_Unusual_User,"When this alert fires, call the user and see if they expected this behavior. If the user cannot attribute this activity, it is best to reset the keys and continue your investigation to see what occurred.",2.0.0,"The risk that this detection intends to reduce is the compromise of an AWS environment, where all of a sudden instance creation occurs from a user that isn't known to provision accounts. Assuming that the user has not changed roles, and that new orchestration tools are not being used, this would suggest that credentials have been created or compromised, and are in control of an adversary. This could result in potential cost run-up or other activities.",,,Advanced Threat Detection
Basic,Low,Splunk_Security_Essentials,Scanning|Endpoint Compromise,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/showcase_standard_deviation?ml_toolkit.dataset=Distinct%20Hosts%20Communicated%20With%20Per%20Day%20-%20Demo,Network Communication,"<p>This will typically detect scanning activity, along with lateral movement activity.</p><p><b>Alert Volume:</b> Low</p>",Splunk Security Essentials,Network,"Demo Data
Live Data
Accelerated Data","Distinct Hosts Communicated With Per Day - Demo
Distinct Hosts Communicated With Per Day - Live
Distinct Hosts Communicated With Per Day - Accelerated",,,Yes,"<p>This example leverages the Detect Spikes (standard deviation) search assistant. Our demo dataset is an anonymized set of firewall logs. For this analysis, we are tracking the total number of unique destinations the source IP has reached out to per day 'dc(dest) by src _time'. Then we calculate the average, standard deviation, and the most recent value, and filter out any users where the most recent is within the configurable number of standard deviations from average. Note that this use case is only reliable for servers -- users will move around too much due to DHCP and it won't be reliable. Look to a more advanced product, such as Splunk UBA.</p>",No,ubuntu8971,"<p>Implementation of this example (or any of the Time Series Spike / Standard Deviation examples) is generally pretty simple. <ul><li>Validate that you have the right data onboarded, and that the fields you want to monitor are properly extracted. If the base search you see in the box below returns results.</li><li>Save the search to run over a long period of time (recommended: at least 30 days).</li></ul></p><p>For most environments, these searches can be run once a day, often overnight, without worrying too much about a slow search. If you wish to run this search more frequently, or if this search is too slow for your envionment, we recommend using a summary index that first aggregates the data. We will have documentation for this process shortly, but for now you can look at Summary Indexing descriptions such as <a href=""http://docs.splunk.com/Documentation/SplunkCloud/6.6.3/Knowledge/Usesummaryindexing"">here</a> and <a href=""http://www.davidveuve.com/tech/how-i-do-summary-indexing-in-splunk/"">here</a>.</p>",,,,,Stage_1,Reconnaissance,"<p class=""disclaimer"">This is a strictly behavioral search, so we define ""false positive"" slightly differently. Every time this fires, it will accurately a spike in the number we're monitoring... it's nearly impossible for the math to lie. But while there are really no ""false positives"" in a traditional sense, there is definitely lots of noise.</p> <p>How you handle these alerts depends on where you set the standard deviation. If you set a low standard deviation (2 or 3), you are likely to get a lot of events that are useful only for contextual information . If you set a high standard deviation (6 or 10), the amount of noise can be reduced enough to send an alert directly to analysts.</p> ",Discovery,Hosts Sending To More Destinations Than Normal,showcase_network_dc_dest,"<p>When this search returns values, initiate your incident response process and identify the other systems that the alerting system is communicating with. Capture the time, applications, destination systems, ports, byte count and other pertinent information. Contact the system owner and user if the logs have the appropriate fidelity of this action. If systems being communicated to are internal, contact the owner(s) of those systems as well. If it is authorized, document that this is authorized and by whom. If not, the user credentials may have been used by another party and additional investigation is warranted to determine why additional systems are being communicated with.</p>",1.0.0,"The first phase of the Lockheed Martin Kill Chain is reconnaissance, which can include initial scanning of a target network to map out assets, as well as vulnerabilities for potential entry points using known exploits. It is important to note that this type of activity can happen both on the perimeter as well as inside of a network once an initial foothold has been made. Monitoring for this type of activity can help identify precursors to an attack as well as be an indicator that assets within an organization, or credentials have been compromised.",,,Advanced Threat Detection|Security Monitoring
Basic,Other,Splunk_App_for_Enterprise_Security,Endpoint Compromise|Operations|Lateral Movement,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/ES_Use_Case,Any Host Logs,Alerts when multiple systems are exhibiting the same errors,Splunk App for Enterprise Security,Threat,,,,,No,Help not needed -- ES Use Case,No,ubuntu8971,,,,,,Stage_2,,,,Same Error On Many Servers Detected,same_error_on_many_servers_detected,,,,,,Advanced Threat Detection|Security Monitoring
