actions_UBASeverity,cardinalityTest,change_type,description,examples_name,label,outlierPeerGroup,outlierValueTracked1,outlierValueTracked2,outlierVariable,outlierVariableSubject,prereqs_field,prereqs_greaterorequalto,prereqs_name,prereqs_override_auto_finalize,prereqs_resolution,prereqs_test,value
,,,"First we load our basic demo data
Next we filter our search for just Windows Update messages that are related to specific KB we know we need to focus on.
Now we have a large number of events and we will want to roll them up into something more usable. stats is great at that!
And finally we can filter for exactly the events we care about.",Windows Successful Updates Install - Demo,Windows Successful Updates Install - Demo,,,,,,UC_successful_windows_updates.csv,1,Must have Demo Lookup,,Verify that lookups installed with Splunk Security Essentials is present,"| rest splunk_server=local /servicesNS/-/-/data//lookup-table-files | eval blah=1, row=""row""| xyseries row title blah ","| inputlookup UC_successful_windows_updates 
| search signature_id=KB4012598 OR signature_id=KB4012212 OR signature_id=KB4012215 OR signature_id=KB4012213 OR signature_id=KB4012216 OR signature_id=KB4012214 OR signature_id=KB4012217 OR signature_id= KB4012606 OR signature_id=KB4013198 OR signature_id= KB4013429 
| stats last(status) as lastStatus by _time, dest, signature, signature_id 
| search lastStatus=installed"
,,,"First we pull in our basic dataset, which consists of XML format Sysmon logs from the endpoints (ingested via the sysmon TA). This could be any EDR data source that provides the full CLI string. Because we're looking for process launches, we then filter for EventCode=1 (the sysmon Process Launch code).
Next we use eval to calcuate how long the command line (file path + command line args) is.
Eventstats is like stats, but just adds the results to your existing dataset. So this will give us the avg and stdev of the command line length per host.
Finally we use stats to roll up multiple process launches, giving us the length of that cli string alongside the avg and stdev of the host, per host, per cli string.
With that setup, we can find processes that have substantially longer cli strings (10 * the standard deviation) than the average on this system.",Command line length statistical analysis - Live,Command line length statistical analysis - Live,,,,,,"count
count","1
1","Must have Microsoft sysmon logs
Must have process start events (EventCode=1)",,"Sysmon is a free Microsoft tool that provides all kinds of great value. Consider pulling the data in via our <a href=""https://splunkbase.splunk.com/app/1914/"">Splunk App</a>. Check out the <a href=""http://conf.splunk.com/files/2016/slides/splunking-the-endpoint-hands-on.pdf"">Splunking the Endpoint</a> .conf presentation to see what you can do with this data!
Check your sysmon configuration file to ensure you are not filtering out EventCode 1 events.","| metasearch index=* sourcetype=""xmlwineventlog:microsoft-windows-sysmon/operational""  earliest=-1h latest=now | stats count
sourcetype=""xmlwineventlog:microsoft-windows-sysmon/operational"" EventCode=1 index=* | head 100 | stats count","index=* sourcetype=""xmlwineventlog:microsoft-windows-sysmon/operational"" EventCode=1 
| eval cmdlen=len(CommandLine) 
| eventstats stdev(cmdlen) as stdev,avg(cmdlen) as avg by host 
| stats max(cmdlen) as maxlen, values(stdev) as stdevperhost, values(avg) as avgperhost by host,CommandLine 
| where maxlen> ((10*stdevperhost) + avgperhost)"
7,,,"First we bring in our basic dataset. In this case, firewall logs. We filter for connections using the default rule.
Next we look up the host in the GDPR categorization lookup. Because we only care about GDPR hosts for this example, we filter for only the hosts that are in scope for GDPR.",FW Default Rules - Live,FW Default Rules - Live,,,,,,count,1,Must have Palo Alto Networks Firewall data,,"This search requires Firewall data. For simplicity, we've hardcoded the pattern of the PAN default rule names, but you could apply the same logic to other firewalls by adding your internal default rule naming scheme.",index=pan_logs sourcetype=pan*traffic earliest=-2h| head 100 | stats count ,"index=pan_logs sourcetype=pan*traffic rule=""*-default"" action=allowed 
| lookup gdpr_system_category.csv host as src_ip | search category=*"
,,,"First we load our Vuln Scanning data and filter the specific CVEs that we care about (in this case, for WannaCry related exploits
Vuln data is refreshed over time, so we will want that context. Bucket (aliased to bin) allows us to group events based on _time, effectively flattening the actual _time value to that day.
Finally, we can use stats to put this data in a usable format, showing the CVEs per host, per status, per day.",Vulnerabilities Exploited by Ransomwares - Live,Vulnerabilities Exploited by Ransomwares - Live,,,,,,count,1,Must have nessus data,,"Ingest your nessus data, use the <a href=""https://splunkbase.splunk.com/app/1710/"">Splunk Add-on for Tenable</a> for best results/",index=* (sourcetype=nessus:scan OR tag=vulnerability) | head 100 | stats count,"index=* (sourcetype=nessus:scan OR tag=vulnerability) (cve = cve-2017-0143 OR cve = cve-2017-0144 OR cve = cve-2017-0145 OR cve = cve-2017-0146 OR cve = cve-2017-0147 OR cve = cve-2017-0148 OR cve = cve-2014-6332 OR cve = cve-2012-0158 OR cve = cve-2014-4114 OR cve = cve-2014-1761 OR cve = cve-2013-3906 OR cve = cve-2015-1641) 
| bucket _time span=1d 
| stats values(cve) as CVEs by _time, signature, netbios-name, hostname"
7,,,"First we pull in our demo dataset. This could be any EDR data source that provides file hash information.
From line one we have our process launch logs, now we need to filter that down to just the potential discovery tools. We do this via a subsearch. A subsearch goes and runs another search, and then takes those results and inserts them into the main search. You can copy-paste that subsearch into a new search window and see what the results look like -- there's a single field called ""search"" that has a bunch of file hashes with ORs between them. That will effectively be inserted into our main search, giving us a really long search string without having to maintain a really long search.
From Line 1-2, we have a list of suspicious process launches. Now we want to see if many of those fire around the same time. Transaction is great for that -- it lets us group together events that all have the same value for a field, in this case the same host. maxpause=5m lets us continue grouping together any events that have no more than 5 minutes between each one.
From line 1-3, we have grouping of suspicious process launches, now we're going to look and see how many different unique programs were launched using mvcount, which gives us the # of events for a multi-value field.
Finally we clean up a few fields that transaction adds, so that we get a nice clean display.",Series of Discovery Hashes - Demo,Series of Discovery Hashes - Demo,,,,,,generic_sysmon_service_launch_logs.csv,1,Must have Demo Lookup,,Verify that lookups installed with Splunk Security Essentials is present,"| rest splunk_server=local /servicesNS/-/-/data//lookup-table-files | eval blah=1, row=""row""| xyseries row title blah ","| `Load_Sample_Log_Data(""Generic Sysmon Process Launches"")` 
 |search [|inputlookup tools.csv | search discovery_or_attack=discovery | eval hash=""sha1="" . hash | stats values(hash) as search | eval search=mvjoin(search, "" OR "")] 
| transaction host maxpause=5m 
| where mvcount(Image)>=6
 | fields - _raw closed_txn field_match_sum linecount"
7,,,"First we bring in our basic demo dataset. In this case, showing Interactive Logins. We're using a macro called Load_Sample_Log_Data to wrap around | inputlookup, just so it is cleaner for the demo data.
Next we check a lookup that shows the user status (this would typically be pulled from SA-ldapsearch or ADMon).
Now we can filter for users where the expiration is at least a day ago (timezones are hard), or that are disabled.
Next we look up the host in the GDPR categorization lookup. Because we only care about GDPR hosts for this example, we filter for only the hosts that are in scope for GDPR.",Activity Expired Identity GDPR - Demo,Activity Expired Identity GDPR - Demo,,,,,,anon_interactive_logons.csv,1,Must have Demo Lookup,,Verify that lookups installed with Splunk Security Essentials is present,"
| rest splunk_server=local /servicesNS/-/-/data//lookup-table-files 
| eval blah=1, row=""row""
| xyseries row title blah ","| `Load_Sample_Log_Data(Interactive Logins)` 
| lookup user_account_status user 
| where _time > relative_time(terminationDate, ""+1d"") 
| lookup gdpr_system_category host as dest OUTPUT category | search category=*"
7,,,"First we bring in our basic dataset, Symantec Endpoint Protection Risks, over the last 24 hours.
While there are several approaches to grouping events, and stats is the fastest, we're using transaction because it's the easiest. This will let us group all the events based on the Computer_Name.
Finally we can filter for if there are at least three events and they spanned at least a few minutes.",Multiple Infections on Host - Live,Multiple Infections on Host - Live,,,,,,count,1,Must have Symantec AV data,,"For simplicity, this search is written specifically for Symantec AV data, but it can be easily modified for other sources. ",| metasearch earliest=-24h latest=now index=* sourcetype=symantec:ep:* | head 100 | stats count ,"index=* sourcetype=symantec:* earliest=-24h 
| transaction maxpause=1h Computer_Name 
| where eventcount >=3 AND duration>240"
7,,,"First we start by pulling our email logs, where we have a source address (this could also work for proxy logs!)
This is an intensive exercise, so let's start by aggregating per source address, so we don't end up running over the same email many times
Next we are going to extract the domain -- probably this should actually occur before the last stats, but the performance is similar and this way it matches the accelerated search where this step is required.
Now we aggregate per actual domain we will analyze, for performance reasons
Let's filter out any domains that our organization owns and expects to receive email from. You can have several domains here (I recommend no more than 10-20 -- eventually urltoolbox will get tired and stop doing adding levenshtein fields, so you can look for null ut_levenshtein later if you are pushing this boundary).
Now we use the free URL Toolbox app to parse out subdomains from the top level domains. We want to analyze each one, so that an attacker can't send mycompany.yourithelpdesk.com and get through, or mail.mycampany.com.
The field we are going to pass to the levenshtein algorithm is domain_detected, so let's add each subdomain to the multi-value field domain_detected.
This step is not required, but I like to filter down the list of fields mid-search just to make it easier for me to read and track it. URL Toolbox adds a *lot* of fields, but these four are the only fields I care about from now on.
Last piece of prep -- let's simplify everything exactly the two fields that URL Toolbox's levenshtein algorithm is expecting.
Now the real magic: URL Toolbox is given two multi-value fields, and it does the cross checking to calculate the levenshtein score for each combination. We pull out the lowest score from this group.
Now we filter for a levenshtein score less than three (so two or fewer changes required to go from the domain to one of our standard domains). Those who have used levenshtein are likely thinking: ""Wait, what about the > 0 that we always use?"" -- we accomplished that by filtering out standard domains way back at the start.
Finally we do some | fields and | rename so that everything looks nice and friendly for analysts to understand what we're looking at.",Emails With Lookalike Domains - Live,Emails With Lookalike Domains - Live,,,,,,"count
count","1
1","Must have Email Data
Must have URL Toolbox Installed (provides Levenshtein lookalike detection)",,"This search requires Email data. The out of the box field extractions support the Common Information Model, including Cisco ESA/Ironport and Microsoft Exchange. If you don't have this data today, we highly recommend ingesting it with the <a href=""https://splunkbase.splunk.com/app/1761/"">Cisco ESA TA</a> or the <a href=""https://splunkbase.splunk.com/app/3225/"">Splunk Add-on for Microsoft Exchange</a>. For best performance, accelerate the email data model from the <a href=""https://splunkbase.splunk.com/app/1621/"">Common Information Model</a>!
The URL Toolbox app, written by Cedric Le Roux, not only provides effective URL Parsing but also Levenshtein similarity checking (e.g., typo detection) and Shannon entropy detection (random characters). Download <a href=""https://splunkbase.splunk.com/app/2734/"">here</a>.","| tstats count where index=* sourcetype=cisco:esa* OR sourcetype=MSExchange*:MessageTracking OR tag=email earliest=-4h
| rest /services/apps/local | search disabled=0 label=""URL Toolbox"" | stats count","index=* sourcetype=cisco:esa* OR sourcetype=MSExchange*:MessageTracking OR tag=email src_user=*
| stats count by src_user 
| rex field=src_user ""\@(?<domain_detected>.*)"" 
| stats sum(count) as count by domain_detected 
| eval domain_detected=mvfilter(domain_detected!=""mycompany.com"" AND domain_detected!=""company.com"" AND domain_detected!=""mycompanylovestheenvironment.com"") 
| eval list=""mozilla"" | `ut_parse_extended(domain_detected, list)` 
| foreach ut_subdomain_level* [eval orig_domain=domain_detected, domain_detected=mvappend(domain_detected, '<<FIELD>>' . ""."" . ut_tld)] 
| fields orig_domain domain_detected ut_domain count   
| eval word1=mvappend(domain_detected, ut_domain), word2 = mvappend(""mycompany.com"", ""company.com"", ""mycompanylovestheenvironment.com"") 
| lookup ut_levenshtein_lookup word1 word2 | eval ut_levenshtein= min(ut_levenshtein) 
| where ut_levenshtein < 3 
| fields - domain_detected ut_domain | rename orig_domain as top_level_domain_in_incoming_email word1 as domain_names_analyzed word2 as company_domains_used count as num_occurrences ut_levenshtein as Levenshtein_Similarity_Score"
7,,,"First we bring in our basic dataset. In this case, successful logins.
Next we check a lookup that shows the user status (this would typically be pulled from SA-ldapsearch or ADMon).
Now we can filter for users where the expiration is at least a day ago (timezones are hard), or that are disabled.",Basic Expired Account - Live,Basic Expired Account - Live,,,,,,"count
count
count","1
1
1","Must have Windows Security data
Must have Logon Success Data
Must have the user field defined",,"This search requires Windows Security data to run. If it is not present, consider ingesting it via the Splunk Universal Forwarder.
You should log logon events. There are many event IDs that we look for in the underlying logs, but they should all fall into the Audit Successful (or Failed) Logon events in your Windows Audit Policy. (<a href=""https://technet.microsoft.com/en-us/library/cc431373.aspx"">docs</a>)
You should have a field called ""user"" defined in your Windows Security logs. This is provided by the Splunk TA for Windows. Consider adding that TA to make for a better experience!","| metasearch earliest=-2h latest=now sourcetype=""*WinEventLog:Security"" index=* | head 100 | stats count 
sourcetype=""*WinEventLog:Security"" (4624 OR 4647 OR 4648 OR 551 OR 552 OR 540 OR 528 OR 4768 OR 4769 OR 4770 OR 4771 OR 4768 OR 4774 OR 4776 OR 4778 OR 4779 OR 672 OR 673 OR 674 OR 675 OR 678 OR 680 OR 682 OR 683) index=* | head 100 | stats count
sourcetype=""*WinEventLog:Security"" earliest=-2h index=* (4624 OR 4647 OR 4648 OR 551 OR 552 OR 540 OR 528 OR 4768 OR 4769 OR 4770 OR 4771 OR 4768 OR 4774 OR 4776 OR 4778 OR 4779 OR 672 OR 673 OR 674 OR 675 OR 678 OR 680 OR 682 OR 683) | head 100 | stats dc(user) as count","index=* (sourcetype=win*security OR sourcetype=linux_secure OR tag=authentication) user=* user!="""" action=success 
| lookup user_account_status.csv user 
| where _time > relative_time(terminationDate, ""+1d"")"
7,,,"First we bring in our basic dataset. In this case, Firewall Data. We're using a macro called Load_Sample_Log_Data to wrap around | inputlookup, just so it is cleaner for the demo data.
Next we use stats to caluate the earliest and the latest time we've seen this calculation.
Eventstats allows us to look across the entire dataset and determine what the largest ""latest"" time is. This step is only necessary when you don't have fresh data, so it really only applies to the demo data.
Next we look up the host in the GDPR categorization lookup. Because we only care about GDPR hosts for this example, we filter for only the hosts that are in scope for GDPR.
Finally, we filter for events where the earliest time seen is within a day of the latest time seen (aka, this is the first time we've seen this).",New Connection GDPR - Demo,New Connection GDPR - Demo,,,,,,anon_interactive_logons.csv,1,Must have Demo Lookup,,Verify that lookups installed with Splunk Security Essentials is present,"
| rest splunk_server=local /servicesNS/-/-/data//lookup-table-files 
| eval blah=1, row=""row""
| xyseries row title blah ","| `Load_Sample_Log_Data(Sample Firewall Data)`  
| stats count min(_time) as earliest max(_time) as maxtime  by src_ip, dest_ip 
| eventstats max(maxtime) as maxtime 
| lookup gdpr_system_category host as dest_ip | search category=*
| where earliest>relative_time(maxtime, ""-1d@d"")"
7,,,"First we pull in our accelerated dataset, which comes from Firewall Logs and targets scenarios where we will have a large number of DNS connections with a small amount of volume each. tstats here is giving us the number of bytes sent per source_ip, filtered for dest_port 53
Eventstats then allows us to calculate all manner of statistics. This is one of the more complicated stats syntaxes that you will see, but it's actually not that complicated. The big component here is leveraging stats+eval, where we can embed the flexible logic of eval inside of stats. In this case, when we are calculating our average and standard deviation, we really want to exclude the most recent values (that which we're concerned about), so that they don't sway our average (imagine you churn along at 1 kb per hour, then in the last hour it's 150 MB.. you really want your normal baseline to be 1 KB). One other note here -- we are doing two different eventstats, one on a global basis, one on a per host basis. That's so we can try to identify a host that's always at the top of the charts, while overall looking across the org, giving us a good balance across servers with static IPs and DHCP hosts that move around.
Here's where we really start doing the important work. Our lengthy eventstats gave us all these fields that we can filter on and interpret based on. (When testing this out, feel free to remove this line and those that follow, so you can see the raw fields coming out of eventstats.) Now we need to filter for hosts that are substantially above the norm.
From our last line, we have focused in to just hosts that are behaving abnormally. Here, we are using eval to add another field to the results -- not one focused on detection logic, but to try to add context and summarize some of the maths for an analyst to see why we are surfacing this host.
Finally, we clear up some of the nonsense fields we don't care that much about, again to make things clearer for the analyst.",Huge Volume of DNS Requests - Accelerated,Huge Volume of DNS Requests - Accelerated,,,,,,"count
count
count","1
1
1","Must have data in your Network Traffic data model
Must have an accelerated Network Traffic data model
Network Traffic data model must have a src_ip",,"This search requires Firewall or Netflow data to run. We are searching here for the common information model network traffic data model.
In addition to searching for the common information model network traffic data model, we are telling Splunk to only visit accelerated data models.
In addition to searching for the accelerated common information model network traffic data model, we are telling Splunk to verify that there is a src_ip in this data set.","| tstats count from datamodel=Network_Traffic where earliest=-1h 
| tstats summariesonly=t allow_old_summaries=t count from datamodel=Network_Traffic where earliest=-1h 
| tstats summariesonly=t allow_old_summaries=t dc(All_Traffic.src_ip) as count from datamodel=Network_Traffic where earliest=-1h ","| tstats summariesonly=t allow_old_summaries=t count from datamodel=Network_Traffic where All_Traffic.dest_port=53 by All_Traffic.src_ip _time span=1d 
| eventstats max(_time) as maxtime avg(count) as avg_count stdev(count) as stdev_count | eventstats count as num_data_samples avg(eval(if(_time < relative_time(maxtime, ""@h""),count,null))) as per_source_avg_count stdev(eval(if(_time < relative_time(maxtime, ""@h""),count,null))) as per_source_stdev_count by src_ip  
| where num_data_samples >=4 AND count > avg_count + 3 * stdev_count AND count > per_source_avg_count + 3 * per_source_stdev_count AND _time >= relative_time(maxtime, ""@h"") 
| eval num_standard_deviations_away_from_org_average = round(abs(count - avg_count) / stdev_count,2), num_standard_deviations_away_from_per_source_average = round(abs(count - per_source_avg_count) / per_source_stdev_count,2) 
| fields - maxtime per_source* avg* stdev*"
7,,,"First we bring in our basic demo dataset. This dataset includes interactive logins from Windows Security logs. We're using a macro called Load_Sample_Log_Data to wrap around | inputlookup, just so it is cleaner for the demo data.
Next we look up the host in the GDPR categorization lookup. Because we only care about GDPR hosts for this example, we filter for only the hosts that are in scope for GDPR.
Next we look up the user in the GDPR categorization lookup.
Because a user or host can belong to many different categories, we use mvexpand to split them into a multi-value field.
Finally we look for users who don't have a matching GDPR category, or who aren't authorized for any GDPR information at all.",Login to New System GDPR - Demo,Login to New System GDPR - Demo,,,,,,anon_interactive_logons.csv,1,Must have Demo Lookup,,Verify that lookups installed with Splunk Security Essentials is present,"
| rest splunk_server=local /servicesNS/-/-/data//lookup-table-files 
| eval blah=1, row=""row""
| xyseries row title blah ","| `Load_Sample_Log_Data(Interactive Logins)`  
| lookup gdpr_system_category.csv host as dest OUTPUT category as dest_category | search dest_category=* 
| lookup gdpr_user_category user OUTPUT category as user_category 
| makemv delim=""|"" dest_category | makemv delim=""|"" user_category 
| where isnull(user_category) OR user_category != dest_category"
7,,,"First we bring in our basic demo dataset. In this case, DNS logs. We're using a macro called Load_Sample_Log_Data to wrap around | inputlookup, just so it is cleaner for the demo data.
Next we filter for connections using the default rule.
Next we look up the host in the GDPR categorization lookup. Because we only care about GDPR hosts for this example, we filter for only the hosts that are in scope for GDPR.",FW Default Rules - Demo,FW Default Rules - Demo,,,,,,anon_interactive_logons.csv,1,Must have Demo Lookup,,Verify that lookups installed with Splunk Security Essentials is present,"
| rest splunk_server=local /servicesNS/-/-/data//lookup-table-files 
| eval blah=1, row=""row""
| xyseries row title blah ","| `Load_Sample_Log_Data(DNS Logs)` 
| search rule=""*-default"" 
| lookup gdpr_system_category.csv host as src_ip | search category=*"
,,,"First we load our Windows Process Launch logs (Event ID 4688), or any Sysmon process launch logs (EventCode 1). We are going to look for any process launches that are being launched from the standard Windows x86 or x64 system directories.
Because we have two different potential data with their own filenames, we are using eval to put them together into one. (Splunk's Common Information Model makes this much easier and more automatic.)
In order for us to see if those filenames are typically associated with Windows processes, we need to get the filename alone. Here, the rex command allows us to do a relatively simple regex to extract that filename (though Splunk has other mechanisms).
Now that we have our filenames, we want to look them up. Splunk has a capability of looking up data in a CSV file through the lookup command. This will take the filename we just extracted, ""look it up"" in the csv file, and then add any new fields.
The field from the lookup is ""systemFile"" so we can now search for any true systemFile field.
And finally we can pull out all the filenames and put them into a usable format via the table command.",Fake Windows Processes - Live,Fake Windows Processes - Live,,,,,,"count
count","1
1","Must have Windows Security Logs or Sysmon Installed
Must have Process Launch Logs (Event ID 4688) Or Sysmon process start events (EventCode=1)",,"Begin ingesting Windows Security Logs or install Sysmon
Begin ingesting Windows Security Logs or install Sysmon","| metasearch earliest=-2h latest=now (sourcetype=""*win*security"" OR sourcetype=""xmlwineventlog:microsoft-windows-sysmon/operational"") index=* | stats count
| metasearch earliest=-2h latest=now (sourcetype=""*win*security"" OR sourcetype=""xmlwineventlog:microsoft-windows-sysmon/operational"") (EventCode=4688 OR EventCode=1) index=* | stats count","index=* (sourcetype=*win*security EventCode=4688 New_Process_Name!=*Windows\\System32* New_Process_Name!=*Windows\\SysWOW64*) OR (sourcetype=XmlWinEventLog:Microsoft-Windows-Sysmon/Operational EventCode=1 Image!=*Windows\\System32* Image!=*Windows\\SysWOW64*) 
| eval process=coalesce(Image, New_Process_Name)  
| rex field=process .*\\\(?<filename>\S+)\s?$ 
| lookup isWindowsSystemFile_lookup filename 
| search systemFile=true 
| table _time dest host user process"
7,,,"First we bring in our basic demo dataset. In this case, Windows logs. We're using a macro called Load_Sample_Log_Data to wrap around | inputlookup, just so it is cleaner for the demo data.
Next we look up the host in the GDPR categorization lookup. Because we only care about GDPR hosts for this example, we filter for only the hosts that are in scope for GDPR.
Bucket (aliased to bin) allows us to group events based on _time, effectively flattening the actual _time value to the same hour.
Next we use the magic of stats+eval to count how many events there are where the action is success, or the action is failure
Finally we filter for where there is at least one success, and more than 100 failures.",Brute Force Slow and Low GDPR - Demo,Brute Force Slow and Low GDPR - Demo,,,,,,anon_interactive_logons.csv,1,Must have Demo Lookup,,Verify that lookups installed with Splunk Security Essentials is present,"
| rest splunk_server=local /servicesNS/-/-/data//lookup-table-files 
| eval blah=1, row=""row""
| xyseries row title blah ","| `Load_Sample_Log_Data(Windows Brute Force)` 
| lookup gdpr_system_category host as dest | search category=* 
| bucket _time span=1d 
| stats count(eval(action=""success"")) as successes count(eval(action=""failure"")) as failures by src _time 
| where successes>0 AND failures>100"
7,,,"First we bring in our basic demo dataset, proxy logs. We're using a macro called Load_Sample_Log_Data to wrap around | inputlookup, just so it is cleaner for the demo data.
Then we just filter for any events that are larger than about 35 MB.",Large Web Upload - Demo,Large Web Upload - Demo,,,,,,bots-webproxy-data.csv,1,Must have Demo Lookup,,Verify that lookups installed with Splunk Security Essentials is present,"
| rest splunk_server=local /servicesNS/-/-/data//lookup-table-files 
| eval blah=1, row=""row""
| xyseries row title blah ","| `Load_Sample_Log_Data(Web Proxy Logs)` 
| where bytes_out>35000000"
,,,"First we pull in our demo dataset of Firewall logs
Next we filter for just SMB connections.
Bucket (aliased to bin) allows us to group events based on _time, effectively flattening the actual _time value to the last day.
Now we are looking at the number of connections per source / dest IP pair per day, over our time range",Detect SMB Traffic Allowed - Demo,Detect SMB Traffic Allowed - Demo,,,,,,UC_smb_traffic_allowed.csv,1,Must have Demo Lookup,,Verify that lookups installed with Splunk Security Essentials is present,"| rest splunk_server=local /servicesNS/-/-/data//lookup-table-files | eval blah=1, row=""row""| xyseries row title blah ","| inputlookup UC_smb_traffic_allowed 
| search action=allowed (app=smb OR dest_port=139 OR dest_port=445) 
| bucket _time span=1d 
| stats count by _time src_ip dest_ip dest_port"
7,,,"First we bring in our basic dataset. In this case, AWS CloudTrail logs.
Next we pull the last src_ip for the same user using streamstats (sorted based on the user).
Next we look up the AccountId in the GDPR categorization lookup. Because we only care about GDPR Accounts for this example, we filter for only the hosts that are in scope for GDPR. (You could also categorize based on any other field in AWS.)
Here we filter for logins that are GDPR in scope, and in a short enough time range that it would be difficult to travel to distant parts of the globe.
Here we resolve the Last src_ip to a physical location, and stick that in a field so that we can conveniently use it.
Now we resolve the *current* src_ip
Now we calculate the distance using an approximation for the curvature of the earth. Easy, right? I do not understand it, I copy-pasted from https://answers.splunk.com/answers/317935/calculating-distances-between-points-with-geoip-us.html#answer-568451
Here we pull the date of the event, to make this easier to run over longer time windows.
Finally we use stats to collect all of the values into one line, per user, per day, and per set of locations. We're using some specific AWS data fields here -- if you're using a log source like VPN, then you might choose other fields.",Land Speed GDPR - Live,Land Speed GDPR - Live,,,,,,count,1,Must have AWS CloudTrail data (though could be applied to other data sources),,"In order to run this search, you must have AWS CloudTrail data onboard. Visit the <a href=""/app/Splunk_Security_Essentials/data_source?technology=AWS%20CloudTrail"">data onboarding guide for AWS CloudTrail in this app</a>, or browse to <a href=""https://splunkbase.splunk.com/app/1876/"">apps.splunk.com</a> for more information.",| tstats count where earliest=-2h latest=now index=* sourcetype=aws:cloudtrail,"index=* sourcetype=aws:cloudtrail user=* 
| sort 0 user, _time | streamstats window=1 current=f values(_time) as last_time values(src_ip) as last_src_ip by user 
| lookup gdpr_aws_category accountId 
| where isnotnull(category) AND last_src_ip != src_ip AND _time - last_time < 8*60*60 
| iplocation last_src_ip | rename lat as last_lat lon as last_lon | eval location = City . ""|"" . Country . ""|"" . Region
| iplocation src_ip 
| eval rlat1 = pi()*last_lat/180, rlat2=pi()*lat/180, rlat = pi()*(lat-last_lat)/180, rlon= pi()*(lon-last_lon)/180 | eval a = sin(rlat/2) * sin(rlat/2) + cos(rlat1) * cos(rlat2) * sin(rlon/2) * sin(rlon/2) | eval c = 2 * atan2(sqrt(a), sqrt(1-a)) | eval distance = 6371 * c, time_difference_hours = round((_time - last_time) / 3600,2), speed=round(distance/ ( time_difference_hours),2) | fields - rlat* a c 
| eval day=strftime(_time, ""%m/%d/%Y"")
| stats values(accountId) values(awsRegion) values(eventName) values(distance) values(eval(mvappend(last_Country, Country))) as Country values(eval(mvappend(last_City, City))) as City values(eval(mvappend(last_Region, Region))) as Region  values(lat) values(lon)  values(userAgent) max(speed) as max_speed_kph min(time_difference_hours) as min_time_difference_hours by day user distance"
7,,,"First we bring in our basic demo dataset, the output of the ldapsearch search command against an AD environment. We're using a macro called Load_Sample_Log_Data to wrap around | inputlookup, just so it is cleaner for the demo data.
Active Directory gives us timestamps in a couple of formats, none of which allow us to do comparisons. To solve this, we use the convert search command to convert those other time formats into Unix epoch time (a nice and clean number) that we can do math on.
Now we look for any accounts where the password is more than 120 days old, and the login is in the last 30 days. Why 120 days? If someone's password expires while they're on vacation, we don't want to alert, so this gives us a month of buffer. We also are filtering for only accounts that are actively used, so that we don't trigger on old disabled accounts (though that's also a worthwhile detection!). 
We've got our suspect values, our last step is to format the data to be more meaningful to an analyst by converting those numeric timestamps into human-readable ones.",Old Passwords In Use - CSV,Old Passwords In Use - CSV,,,,,,UC_active_directory_search.csv,1,Must have Demo Lookup,,Verify that lookups installed with Splunk Security Essentials is present,"
| rest splunk_server=local /servicesNS/-/-/data//lookup-table-files 
| eval blah=1, row=""row""
| xyseries row title blah ","| inputlookup UC_active_directory_search.csv 
| convert timeformat=""%Y-%m-%dT%H:%M:%S.%6QZ"" mktime(pwdLastSet) mktime(lastLogonTimestamp) | convert timeformat=""%Y%m%d%H%M%S.0Z""  mktime(whenCreated) 
| where pwdLastSet < relative_time(now(), ""-120d"") AND lastLogonTimestamp > relative_time(now(), ""-30d"") 
| convert ctime(lastLogonTimestamp) ctime(whenCreated) ctime(pwdLastSet)"
7,,,"First we bring in our basic dataset, Symantec Endpoint Operational Logs.
Next we use a relatively complicated stats command to track the time of the last update, and the time of the last error.
Next we filter for the events where the time of the last update was more than three days ago, or where the last error was more recent than the last update.
Next we look up the host in the GDPR categorization lookup. Because we only care about GDPR hosts for this example, we filter for only the hosts that are in scope for GDPR.
Finally, we format the timestamps in a human readable way.",Outdated Malware Definitions GDPR - Live,Outdated Malware Definitions GDPR - Live,,,,,,count,1,Must have Symantec AV data,,"For simplicity, this search is written specifically for Symantec AV data. Some other AV vendors will report similar information.",| metasearch earliest=-24h latest=now index=* sourcetype=symantec:ep:* | head 100 | stats count ," index=* sourcetype=symantec:* 
|stats max(eval(if(like(Event_Description, ""%LiveUpdate session ran successfully%"") , _time, null))) as LatestUpdate max(_time) as LatestMessage max(eval(if(tag=""error"", _time, null))) as LatestError by Host_Name 
| where LatestUpdate < relative_time(LatestMessage, ""-3d"") OR LatestError > LatestUpdate 
| lookup gdpr_system_category Host_Name | search category=* 
| convert ctime(LatestUpdate) ctime(LatestMessage) ctime(LatestError)"
7,,,There is.. lamentably no way to really show the search here. Use the Live Search to get the extreme detail of managing AWS logs!,AWS Public Bucket - Demo,AWS Public Bucket - Demo,,,,,,UC_aws_public_buckets.csv,1,Must have Demo Lookup,,Verify that lookups installed with Splunk Security Essentials is present,"
| rest splunk_server=local /servicesNS/-/-/data//lookup-table-files 
| eval blah=1, row=""row""
| xyseries row title blah ",| `Load_Sample_Log_Data(AWS CloudTrail Public Bucket)` 
